Freq,Impedance,Phase
1824.561,10.321,49.697
1878.024,10.525,49.938
1933.055,10.731,50.170
1989.697,10.941,50.402
2048.000,11.156,50.640
2108.011,11.376,50.868
2169.780,11.601,51.089
2233.360,11.832,51.286
2298.802,12.067,51.473
2366.162,12.306,51.651
2435.496,12.549,51.826
2506.862,12.791,51.991
2580.318,13.039,52.139
2655.927,13.292,52.287
2733.752,13.548,52.445
2813.857,13.809,52.608
2896.309,14.077,52.771
2981.178,14.353,52.926
3068.533,14.634,53.082
3158.448,14.919,53.228
3250.997,15.211,53.364
3346.259,15.512,53.494
3444.312,15.818,53.621
3545.238,16.131,53.743
3649.121,16.450,53.853
3756.049,16.775,53.954
3866.109,17.107,54.048
3979.395,17.445,54.141
4096.000,17.790,54.222
4216.022,18.142,54.294
4339.561,18.501,54.357
4466.720,18.866,54.406
4597.605,19.231,54.440
4732.325,19.595,54.486
4870.992,19.971,54.552
5013.723,20.359,54.611
5160.637,20.754,54.652
5311.855,21.153,54.689
5467.504,21.560,54.726
5627.714,21.976,54.755
5792.619,22.399,54.779
5962.355,22.826,54.798
6137.066,23.264,54.813
6316.896,23.710,54.816
6501.995,24.162,54.819
6692.518,24.617,54.822
6888.623,25.079,54.826
7090.476,25.550,54.830
7298.242,26.026,54.828
7512.097,26.507,54.824
7732.218,26.998,54.821
7958.790,27.499,54.823
8192.000,28.010,54.822
8432.044,28.529,54.819
8679.122,29.053,54.811
8933.439,29.584,54.802
9195.209,30.122,54.789
9464.649,30.668,54.775
9741.985,31.225,54.759
10027.447,31.793,54.746
10321.273,32.369,54.736
10623.710,32.961,54.700
10935.008,33.533,54.647
11255.428,34.098,54.636
11585.238,34.689,54.671
11924.711,35.311,54.689
12274.132,35.942,54.694
12633.791,36.580,54.696
13003.989,37.226,54.697
13385.035,37.879,54.697
13777.247,38.540,54.700
14180.951,39.213,54.705
14596.485,39.898,54.710
15024.194,40.592,54.714
15464.437,41.295,54.722
15917.579,42.009,54.733
16384.000,42.731,54.748
16864.088,43.461,54.767
17358.243,44.199,54.789
17866.879,44.951,54.817
18390.418,45.719,54.846
18929.299,46.501,54.877
19483.969,47.356,54.933
20054.893,48.821,55.119
20642.546,54.216,55.392
